grid_id_consolidated,pub_id
grid.418723.b,43b9c128
NA,43b9c128
grid.5570.7,43b9c128
grid.418140.8,43b9c128
grid.419538.2,43b9c128
grid.470125.5,43b9c128
grid.7450.6,43b9c128
NA,dbcfcd8e
grid.7450.6,dbcfcd8e
grid.419522.9,6fb815b
grid.418140.8,6fb815b
grid.411984.1,6fb815b
grid.7700.0,6fb815b
grid.418140.8,2000eaa0
grid.5337.2,2000eaa0
grid.5337.2,2000eaa0
grid.4991.5,2000eaa0
grid.5718.b,f3b18d74
grid.7450.6,f3b18d74
grid.13648.38,f3b18d74
grid.5718.b,f3b18d74
NA,f3b18d74
grid.9613.d,f3b18d74
grid.7450.6,37f05989
grid.38142.3c,37f05989
grid.38142.3c,37f05989
grid.16753.36,37f05989
grid.6612.3,37f05989
grid.7497.d,37f05989
grid.5802.f,51d4842a
grid.7450.6,51d4842a
grid.7159.a,51d4842a
grid.13339.3b,51d4842a
NA,f80677d2
grid.418140.8,c22a8d43
grid.7450.6,c22a8d43
grid.418140.8,c22a8d43
grid.5252.0,f2e3d0c
grid.21107.35,1841b1aa
grid.21107.35,1841b1aa
grid.413575.1,1841b1aa
grid.25879.31,1841b1aa
grid.419522.9,1841b1aa
grid.419522.9,1841b1aa
grid.240023.7,1841b1aa
grid.418140.8,b8af3c77
grid.5590.9,b8af3c77
grid.411984.1,6487563c
grid.418140.8,6487563c
grid.7450.6,f51c4dc0
grid.7450.6,f51c4dc0
grid.14003.36,f51c4dc0
grid.14003.36,f51c4dc0
grid.37172.30,f51c4dc0
grid.4991.5,e057ee48
grid.4991.5,e057ee48
not_in_grid,e057ee48
grid.419522.9,e057ee48
grid.4991.5,e057ee48
grid.4991.5,e057ee48
grid.411984.1,96328282
grid.418140.8,a0d6f0aa
grid.5333.6,a0d6f0aa
grid.418140.8,c38784a0
grid.418928.e,c38784a0
NA,c38784a0
NA,c38784a0
grid.9613.d,c38784a0
grid.419522.9,6e4ac6a9
grid.18887.3e,6e4ac6a9
grid.18887.3e,6e4ac6a9
grid.424247.3,6e4ac6a9
grid.5252.0,6e4ac6a9
grid.7450.6,a07a7634
grid.7450.6,a07a7634
grid.419522.9,796a3fb7
grid.411984.1,796a3fb7
grid.411984.1,796a3fb7
grid.411984.1,796a3fb7
grid.5802.f,796a3fb7
grid.411984.1,72b3a6aa
grid.419522.9,72b3a6aa
grid.411984.1,72b3a6aa
not_in_grid,72b3a6aa
grid.6582.9,72b3a6aa
grid.411984.1,72b3a6aa
NA,72b3a6aa
grid.12136.37,7c3e680a
grid.12136.37,7c3e680a
grid.419522.9,7c3e680a
grid.7177.6,cc66e746
grid.7450.6,cc66e746
grid.418140.8,fddc245f
grid.7450.6,fddc245f
grid.4830.f,fddc245f
grid.7450.6,95038f62
grid.7450.6,95038f62
grid.46699.34,95038f62
grid.411984.1,7c024233
grid.411984.1,7c024233
grid.411984.1,7c024233
grid.411984.1,7c024233
NA,7c024233
grid.7450.6,7c024233
grid.7450.6,7c024233
NA,7c024233
grid.10814.3c,3585ab55
grid.10814.3c,3585ab55
not_in_grid,3585ab55
grid.418832.4,3585ab55
grid.418140.8,3585ab55
grid.424247.3,3585ab55
grid.470125.5,3585ab55
grid.10814.3c,3585ab55
grid.7700.0,8b816fbf
NA,8b816fbf
grid.5949.1,8b816fbf
grid.5603.0,8b816fbf
grid.11749.3a,8b816fbf
grid.5253.1,8b816fbf
grid.412469.c,8b816fbf
grid.412469.c,8b816fbf
grid.412469.c,8b816fbf
grid.411067.5,8b816fbf
grid.412581.b,8b816fbf
grid.6363.0,8b816fbf
grid.6363.0,8b816fbf
grid.8379.5,8b816fbf
grid.8379.5,8b816fbf
grid.5805.8,8b816fbf
grid.9764.c,8b816fbf
grid.4567.0,8b816fbf
grid.5252.0,8b816fbf
grid.32224.35,8b816fbf
grid.279885.9,8b816fbf
grid.189504.1,8b816fbf
grid.4567.0,8b816fbf
grid.5252.0,8b816fbf
grid.9764.c,8b816fbf
grid.7497.d,8b816fbf
NA,8b816fbf
grid.9764.c,8b816fbf
grid.7450.6,8b816fbf
grid.6936.a,8b816fbf
grid.4567.0,8b816fbf
grid.419491.0,8b816fbf
grid.452396.f,8b816fbf
grid.419425.f,8b816fbf
grid.6582.9,8b816fbf
grid.7450.6,b318a5d2
not_in_grid,b318a5d2
grid.414472.0,b318a5d2
grid.434251.5,b318a5d2
grid.5395.a,b318a5d2
grid.11899.38,b318a5d2
grid.414148.c,b318a5d2
grid.7450.6,405f6d4f
grid.418140.8,405f6d4f
grid.9681.6,405f6d4f
grid.9681.6,405f6d4f
grid.418140.8,455bc875
grid.4861.b,44b60e50
grid.411374.4,44b60e50
grid.4714.6,44b60e50
grid.7450.6,44b60e50
grid.7450.6,44b60e50
grid.4989.c,44b60e50
grid.7722.0,44b60e50
grid.5841.8,44b60e50
grid.8993.b,44b60e50
grid.214572.7,44b60e50
grid.411374.4,44b60e50
grid.419522.9,69848a00
grid.419522.9,69848a00
NA,69848a00
grid.418140.8,69848a00
grid.455091.c,69848a00
grid.152326.1,69848a00
grid.6734.6,91348410
grid.12380.38,91348410
grid.7450.6,91348410
not_in_grid,d35f0b97
grid.5170.3,d35f0b97
grid.255986.5,d35f0b97
grid.5333.6,d35f0b97
grid.5685.e,d35f0b97
grid.15276.37,d35f0b97
